C205

VEHICLE
NUMBER     CAPACITY
  25         700

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND    
 
    0      40         50          0           
    1      52         75         10        
    2      45         70         30         
    3      62         69         10       
    4      60         66         10       
    5      42         65         10          
    6      16         42         20        
    7      58         70         20          
    8      34         60         20       
    9      28         70         10       
   10      35         66         10        
   11      35         69         10         
   12      25         85         20        
   13      22         75         30        
   14      22         85         10       
   15      20         80         40        
   16      20         85         40        
   17      18         75         20       
   18      15         75         20         
   19      15         80         10       
   20      30         50         10        
   21      30         56         20       
   22      28         52         20           
   23      14         66         10        
   24      25         50         10         
   25      22         66         40       
