RC107

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   
 
    0      40         50          0            
    1      25         85         20          
    2      22         75         30          
    3      22         85         10          
    4      20         80         40           
    5      20         85         20           
    6      18         75         20         
    7      15         75         20          
    8      15         80         10            
    9      10         35         20            
   10      10         40         30          
   11       8         40         40          
   12       8         45         20          
   13       5         35         10           
   14       5         45         10          
   15       2         40         20           
   16       0         40         20          
   17       0         45         20         
   18      44          5         20         
   19      42         10         40         
   20      42         15         10        
   21      40          5         10         
   22      40         15         40        
   23      38          5         30         
   24      38         15         10        
   25      35          5         20         
