C106

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    
 
    0      40         50          0        
    1      45         68         10        
    2      45         70         30        
    3      42         66         10         
    4      42         68         10        
    5      42         65         10         
    6      40         69         20        
    7      40         66         20        
    8      38         68         20        
    9      38         70         10        
   10      35         66         10         
   11      35         69         10        
   12      25         85         20         
   13      22         75         30           
   14      22         85         10         
   15      20         80         40         
   16      20         85         40          
   17      18         75         20        
   18      15         75         20        
   19      15         80         10         
   20      30         50         10         
   21      30         52         20        
   22      28         52         20        
   23      28         55         10        
   24      25         50         10          
   25      25         52         40          
   26      25         55         10        
   27      23         52         10          
   28      23         55         20         
   29      20         50         10        
   30      20         55         10        
   31      10         35         20          
   32      10         40         30          
   33       8         40         40         
   34       8         45         20        
   35       5         35         10         
   36       5         45         10        
   37       2         40         20        
   38       0         40         30         
   39       0         45         20         
   40      35         30         10        
   41      35         32         10        
   42      33         32         20         
   43      33         35         10         
   44      32         30         10        
   45      30         30         10         
   46      30         32         30        
   47      30         35         10        
   48      28         30         10        
   49      28         35         10         
   50      26         32         10        
